=== 段落内容 ===
[0] 原文
[11] 反正现在有重外的意思，就是相当于他们拍摄完视频之后，让抖音让那个，然后让OPPO给它自动自动发布。自动发布，自动上传，自动生成那种文本的文案脚本做的对，就是前面这两步能能能实现，就是基于是啊，我想想好这些，嗯，他们那个视频有那些本身的那个脚本或者是思路什么的吗？我们可以基于他们那个文字版的那些内容，然后。生成一个那种那种那种发布的一个脚本，这个可以，但是你想让让让大漠型自动读那个视频，然后来理解它里头的意思，然后再总结那个文案，可能比较困难。
[12] 就就是他们就是最后的目的就是达到一个获客，然后他再通过这个语音矩阵，然后就是有的老板在评论区啊，然后他会收集这些信息，然后比如说再私信给他。一些把他引导到那种企业微信上。
[13] 他交流我没带本，那个有个有个证。
[14] 有没有有没有一下现在有没有这种成熟的这种电商的案例？他其实我感觉跟电商有点类似。
[15] 电商呢，我们是之前有一个那个数字人的数字人儿直播，它是它是可以和像美团，然后像呃抖音之前不行，我不知道现在行不行，就是相当于在他们那些地方上直播，然后那个帮他们24小时不间断那种方式。但是你说像后边的那种总结，然后分析啊，这种当时是还没有对。但是其实如果说那个接口可以开放的话，能拿到他那些相关的呃，那个那个聊天的那些就是或者发言那些那些数据的话，我们可以给他进行一个总结，这些应该是好实现。
[16] 就是看那个抖音的接口上能不能提供了这一能实现，但我们接口这一块。我不确定，反正他就整体是这么个思路，然后他就想把这个东西做出来。只要嗯。
[17] 他们有啥要求吗？就比如说对准确率上或者说对一些那种可量化的指标上有啥要求吗？应该没有吧。这种没有就相当于他们只是想把这个流程跑通啊，就相当于一是根据他们的那个视频。
[18] 我记一下啊，根据他们的视频，然后总生成生成宣传文案，不是就是我那个抖音可以有那个开源源，就我们可以给他就是说他们已经有视频了之后，我们可以帮他们自动生成一些那种宣传的文案。然后，如果抖音他那个平台开放开放接口的话，我们是可以给他上传到那个抖音的平台上。这个这个步骤是可以，但是那个视频，视频那个东西本身我们是给他们做不了的。
[19] 对，现在没有。如果给他提提供这种这种相关的，像这种多模太大模型呢。
[20] 我估计就是他们那个标准要求上应该是达不到，而且我们这边也没相关的资源这一块儿啊。
[21] 嗯，我他这个刚才说了，用抖音自动发视频，它相当于一个机器人流程。
[22] 它是就是那个他这个啥是有的是吧，就是抖音上是抖音上是有这个接口的。
[23] 模拟人工点击啊。
[24] 模拟人工点击的方式。
[25] 对模拟人工点击的方式，但是他好像有个那个封号的，这是他前期给我发的一个需求文。但是机器人他是用AI生存的，他就是想到什么，他就让AI生存。这是他总体的一个思路，但是我感觉他弄的很乱啊，是就是大体是这么个事，他的意思就是说。
[26] 这个不仅限于那个看，不仅限于他那个什么了。
[27] 对，不仅限于这个，就是呃，他说了他，他当时交流的也是只说了一个总体的一个框架一条线，然后往细的那种，他说做的越细越好，那除非就是如果部分成本太高了。
[28] 那些就不做，他们想用DC和V3 V3那个模型。
[29] 他也不懂。他不懂，他就是说，只要能实现就行。他就是想嘛，现在他想的是什么，到时候他也认识一些刘万庄镇的领导。到时候比如说通过线下会啊，然后给一些企业宣贯明白。
[30] 嗯。哎，这个他们有预算吗？嗯。
[31] 没没说没说没说没聊这一块。当时是想着卖头Ken你知道吧，因为这个头Ken消耗大嘛，因为它不生成视频的话，头Ken消耗不大。它主要是咱现在中国移动不也卖头款嘛？对，就是想让他就把这个宽架搭起来。
[32] 就没就想办法让客户他们如果想生成他们就是想要的那种质量的视频，一般来说一次得几千块钱，就是我我了解到的行情，大概大概一次得几千块钱的成本。嗯，因为他们生成肯定不是那种很很糊弄的，对一定是那种至少质量上还比较高的那种，一般是至少得几千块钱，就我我了解到的行情大概是这个样子。
[33] 生成一次。
[34] 生成一次视频几千块钱，对差不多一次视频，一次视频就是一生生成一个他们满意的视频，就是从从那个开始，然后到生成到他们质量觉得还不错的，大概几千块钱。这个包就是包括所有的价格。
[35] 包括包括是所的软件。
[36] 差不多差不多嗯1这不是一是一调。
[37] 我说你说整体他，你比如说他按照他这个需求来做的话得多少钱。
[38] 对其实他这个需求有点乱，他这个看着像是从办公运营然后财务啥的各个系统都都弄上去了，有点有点类似那种ERP系统。然后他们升级的感觉。
[39] 他就觉得他这个东西能赚钱，一个人他就一个人就OTC啊，就那些他就想自己去弄。
[40] 但是我感觉有点儿没太没那么成大现实没那么成熟，就是还有有些能力是可以实现的，但是并不是所有的都行。对他们，他们现在有有算力吗？也没算力。他们自己就相当于一台服务器，一个小老板。
[41] 他稍微有点钱，然后之前退伍的，然后再领下自己。
[42] 他们那个厂子就是多大的规模哦？
[43] 你说他服务的企业规模几百个人的。
[44] 到几十个人都有他服务的企业啥意思？他他还不是那个。
[45] 他他就想把这个东西卖给那些绿罐装这的企业哦。
[46] 他想再卖给那些企业，然后相当于是他现在想自己弄这一套东西先。
[47] 就是他说，主要是你不用太那啥，只要能实现基本的获客功能就行了。
[48] 实现基本的获客功能。
[49] 他这个获客。
[50] 他是想从哪些哪些渠道上获客？
[51] 音啊，视频号啊都行。
[52] 就是搜索不同的关键词，然后那个获得客户的一些需求。那他们他们现在就是那些厂家获客，就通过这种方式获客吗？不。
[53] 厂家现在有开始，也不是说全部就是很多企业都开始开短视频。有一个盛创。
[54] 就像我没太理解他，他这个短视频怎么获客。
[55] 就是发就视频有流量的话。
[56] 对对对对吧。
[57] 它里下都有这个企业名的。然后啊，你这个企业一旦火了，肯定后这个知名度高一点啊。有人在后台问什么老板，然后你们因为他也会进行一些宣传，视频里也会说这是我们的什么什么产品，什么塑料袋面膜。
[58] 那我理解。其实就是相当于他们最核心的就是那个视频那一块儿做视频那一块，因为其实视频效果图很对，就是就是他这个整个流程里头，就是包括后边获客的一个性能上来讲，就是只要那个视频做得够好，才才能够才能够有一个比较好的那个质量。
[59] 因为他自己要去吹的话，我说实话，他你不可能有所有那么多精力去给客户开视频，就感觉视频生成还是得有啊，不然他他刚开始确实是说他，他会他有也有一些团队，他也不只是简简单单一个人，但是他要那么弄的话，拍视频也不太头疼。
[60] 视频这一块，我们确实不太好做，对不太好做，而且做出来的效果可能也达不到他想要的那个要求，这个，这个，这个目前来说应该是比较困难。
[61] 因为我感觉你在抖音发这种AI生存的视频也白搭，能发到是能发，但是效果一般。
[62] 呃，有有那种效果还。但是，肯定就是成本贵嘛。
[63] 成本贵就是那种好又很好，很好，他又做的特别好，对做的特别好，很逼真的那种。
[64] 跟我是他那个创意也好，就是从脚本到那个画面质量，然后再到整个流，那个流畅性上就是有有那种确实做得很好，但一样成本也很贵。
[65] 而且，他这种是团队做的吧。
[66] 不是一人去的，不是一个人。
[67] 很少有那种一个人就能弄到做做的好工作量太大了对，所以他那个想法吧是很好。但是，你比如说把这个东西做出来了，然后咱就一直卖图品就行了。每个医院，然后就客户自己，例如图片或者什么药。
[68] 实话说，嗯，做视频这一块比较困难，就做这种比较好的质量的，他们多少多长时间一发去率。
[69] 呃，有一天有两三天也发，有一天也发。
[70] 一天也就是我现在了解到的9天的企业。
[71] 就是刘汉章呢。他现在对这个。打视频就是很看重很多的企业都想做，因为因为这个企业他做的不错，哎，哪怕咱就是咱就跟我就跟他说视频生成弄不了，而且这个成本也很高，然后让他自己找团队去给客户拍摄就行。但是咱主要是后边那个流程其实主要是能给他做出效果来。
[72] 但是后边儿这个流程我感觉没什么太大意义啊，就不就是给他生成个宣传文案，然后上传到平台上，这个这个感觉就是对于他前边那个视频制作的那个时时长来说，就是九牛一毛了。对，其实我感觉他那个最大的那个想法还是在那个视频那个地方。哎。
[73] 那你通过沟空核爆之，我就给他一个就是种精准获客，就是来通过这个分析。
[74] 要你像我们之前在八达服饰也有一个精准获客的一个，啊不是八服饰是泰山时报也有一个那个精准获客的一个一个一个功能。它那个是相当于从网上找一些那个呃找一些信息，然后包括客户的清。向性啊，包括一些那种呃市场上的一些前沿趋势啊啥的，然后通过这些东西来总结，然后给他们一个报告，是这种方式对你咱说的这个精准获客，其实可能更多的是相当于我们把这个视频做好之后有流量。嗯对，就一个是相当于让让顾客自己来找我们，一个是像之前我们那个做的那个，其实相当于我们去研究客户的一个嗯，客户画像也好，客户他那个行为趋势也好，其实是这样的两个思路不太一样。
[75] 嗯。
[76] 不太好做啊。
[77] 不太好做这个不太好做。
[78] 因为他前边那个他需求也比较高，对需求太比较嘛。
[79] 华为他那个那个点太难了，就是想要到这种比较商业化这样一个情况下来说，还是还是有困难的。
[80] 他如果是企业自己用的话还好点，对他，但是他还。
[81] 到时卖这个，其实还是他还得再卖出去，人家那边能不能再相中还是一回事儿，对。
[82] 添加里对就给人家用一个，就比如说他做出来之后再用咱电脑或者是一些什么的。
[83] 确实，他需求点也少，他们这么弄的话，如果不上视频消耗图，肯定没多少哦。
[84] 对他，他不用的话，就是生这个。
[85] 就是一个个是有困难，对，而且他如果一次卖给好几家的话，相当于是他他给他们做视频啊，对他给他们做视频，那他如如果就是他同时卖给了十来家，一天可能要做好几个，这个很困难，他说很。
[86] 他就是想着怎么把这个东西做好，就是越好看越好，
[87] 或者是月十一月十二月或者或者回款的。

=== 表格内容 ===